Team	Match	AutoHighHot	AutoHighCold	AutoLowHot	AutoLowCold	AutoMiss	TrussField	TrussHP	TrussFail	High	HighMiss	MiscFoul	MiscStuckBall	MiscDeadBot	Pickups	LowGoal	EtcMobility	EtcNoShow	EtcDefending	EtcDefended	EtcGoalie	EtcGoalieBlock
870	41	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0
4203	41	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	0	0
4508	41	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	1	0	1	1	0	0
2053	42	0	0	0	0	1	1	0	0	0	1	0	0	0	3	0	1	0	1	0	0	0
3990	42	0	1	0	0	0	0	0	0	1	1	0	0	0	2	0	1	0	1	1	0	0
3687	42	0	1	0	0	1	1	0	0	1	0	0	0	0	3	2	1	0	0	0	0	0
358	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0
3936	42	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0
3015	43	0	2	0	0	0	0	0	0	0	1	0	0	0	3	0	1	0	1	0	0	0
3193	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0
4975	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
3044	43	0	0	0	0	1	0	0	0	3	0	0	1	0	4	1	1	0	1	1	0	0
1493	43	0	0	0	0	1	3	0	0	2	0	0	0	0	3	1	1	0	0	0	0	0
53	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
1126	45	0	0	0	0	2	2	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
1708	44	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
2228	44	0	0	0	0	1	1	0	0	1	0	0	0	0	3	1	1	0	0	0	0	0
145	44	0	1	0	0	0	0	0	0	1	1	0	0	0	1	1	1	0	0	0	0	0
5030	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0
5236	45	0	0	0	0	0	1	0	0	0	0	0	0	0	2	1	1	0	0	0	0	0
358	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0
3936	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
250	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
379	45	0	1	0	0	0	0	0	0	1	3	0	0	0	2	0	1	0	0	0	0	0
527	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0
20	45	2	0	0	0	0	1	0	0	3	1	0	0	0	5	0	1	0	0	1	0	0
4122	46	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0
229	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0
870	46	1	0	0	0	0	1	0	0	1	0	0	0	0	3	0	1	0	0	1	0	0
3044	46	0	0	0	0	1	0	0	0	0	1	0	0	0	2	1	1	0	1	0	0	0
4134	46	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	1	1	0	0
3990	46	1	0	0	0	0	0	0	0	0	1	0	0	0	1	2	1	0	0	0	0	0
1511	47	1	0	0	0	1	0	0	0	1	2	0	0	0	3	2	1	0	1	1	0	0
3059	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0
2911	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0
53	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
4975	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
4508	47	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
2228	48	0	1	0	0	0	1	0	0	0	0	0	0	0	2	1	1	0	0	1	0	0
3003	48	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0
3193	48	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0
